Product,Category,SubCategory,UniqueCustomers,SegmentsReached,TotalSales
"Ibico Index Tab, Clear",Office Supplies,Binders,93,3,6689.0
"Rogers File Cart, Single Width",Office Supplies,Storage,93,3,31664.0
"Sanford Pencil Sharpener, Water Color",Office Supplies,Art,84,3,5931.0
"Acco Index Tab, Clear",Office Supplies,Binders,80,3,1640.0
"Smead File Cart, Single Width",Office Supplies,Storage,79,3,27028.0
"Avery Index Tab, Clear",Office Supplies,Binders,79,3,1421.0
"Eldon File Cart, Single Width",Office Supplies,Storage,76,3,29613.0
"Cardinal Index Tab, Clear",Office Supplies,Binders,75,3,1546.0
"Stanley Pencil Sharpener, Water Color",Office Supplies,Art,74,3,5596.0
"Stockwell Paper Clips, Assorted Sizes",Office Supplies,Fasteners,73,3,2909.0
"Tenex File Cart, Single Width",Office Supplies,Storage,71,3,22474.0
"Ibico Binder Covers, Recycled",Office Supplies,Binders,67,3,3643.0
"Boston Pencil Sharpener, Water Color",Office Supplies,Art,64,3,5617.0
"Fellowes Lockers, Industrial",Office Supplies,Storage,63,3,26669.0
"Acco Binder Covers, Clear",Office Supplies,Binders,62,3,3481.0
